Title,year,Director,Writer,imdbID,Bechdel Score,dubious,year submitted,decade,Rated,imdbVotes,imdbRating,Genre
Autour d&#39;une cabine,1894,Émile Reynaud,N/A,15,0,0.0,2021,1890,N/A,1120,6.2,"Animation, Short"
Broken Blossoms or The Yellow Man and the Girl,1919,D.W. Griffith,"Thomas Burke, D.W. Griffith",9968,0,0.0,2011,1910,Not Rated,10856,7.2,"Drama, Romance"
"Man from Beyond, The",1922,Burton L. King,"Harry Houdini, Coolidge Streeter",13367,1,0.0,2011,1920,Not Rated,322,5.3,"Mystery, Sci-Fi"
Sherlock Jr.,1924,Buster Keaton,"Jean C. Havez, Joseph A. Mitchell, Clyde Bruckman",15324,0,0.0,2011,1920,Passed,54537,8.2,"Action, Comedy, Romance"
"Thief of Bagdad, The",1924,Raoul Walsh,"Lotta Woods, Douglas Fairbanks, Achmed Abdullah",15400,0,0.0,2010,1920,Not Rated,6762,7.7,"Adventure, Family, Fantasy"
Wild Oranges,1924,King Vidor,"Joseph Hergesheimer, King Vidor, Tom Miranda",15498,0,0.0,2011,1920,Passed,541,6.7,"Drama, Romance"
Downhill [When Boys Leave Home],1927,Alfred Hitchcock,"Constance Collier, Ivor Novello, Eliot Stannard",17825,1,0.0,2016,1920,Not Rated,2903,6.0,"Adventure, Drama, Thriller"
Morocco,1930,Josef von Sternberg,"Jules Furthman, Benno Vigny",21156,1,0.0,2013,1930,Passed,7266,7.0,"Drama, Romance"
"Public Enemy, The",1931,William A. Wellman,"Kubec Glasmon, John Bright, Harvey F. Thew",22286,3,1.0,2014,1930,Passed,22496,7.6,"Crime, Drama"
"Blue Light (Das Blaue Licht), The",1932,"Leni Riefenstahl, Béla Balázs","Béla Balázs, Carl Mayer, Gustav Renker",22694,1,0.0,2016,1930,N/A,1352,6.8,"Drama, Fantasy, Mystery"
Grand Hotel,1932,Edmund Goulding,"Vicki Baum, William Absalom Drake, Béla Balázs",22958,3,0.0,2010,1930,Not Rated,20428,7.3,"Drama, Romance"
Design for Living,1933,Ernst Lubitsch,"Noël Coward, Ben Hecht, Samuel Hoffenstein",23940,1,0.0,2018,1930,Passed,7438,7.4,"Comedy, Mystery, Romance"
Modern Times,1936,Charles Chaplin,Charles Chaplin,27977,0,0.0,2010,1930,G,253191,8.5,"Comedy, Drama, Romance"
Pepe le Moko,1937,Julien Duvivier,"Henri La Barthe, Julien Duvivier, Jacques Constant",29453,2,1.0,2014,1930,Not Rated,7915,7.7,"Crime, Drama, Romance"
"Great Dictator, The",1940,Charles Chaplin,Charles Chaplin,32553,3,0.0,2012,1940,G,232452,8.4,"Comedy, Drama, War"
His Girl Friday,1940,Howard Hawks,"Charles Lederer, Ben Hecht, Charles MacArthur",32599,3,1.0,2012,1940,Passed,61755,7.8,"Comedy, Drama, Romance"
Dumbo,1941,"Samuel Armstrong, Norman Ferguson, Wilfred Jackson","Joe Grant, Dick Huemer, Otto Englander",33563,2,0.0,2010,1940,G,138862,7.2,"Animation, Adventure, Drama"
Ladies In Retirement,1941,Charles Vidor,"Garrett Fort, Reginald Denham, Edward Percy",33802,1,0.0,2015,1940,Approved,1644,7.1,"Crime, Drama, Film-Noir"
China,1943,John Farrow,"John Stuart Dudley, Frank Butler",35735,3,1.0,2018,1940,Approved,598,6.6,"Drama, War"
Millions Like Us,1943,"Sidney Gilliat, Frank Launder","Frank Launder, Sidney Gilliat",36160,3,0.0,2022,1940,Not Rated,989,6.8,"Drama, War"
Sahara,1943,Zoltan Korda,"John Howard Lawson, Zoltan Korda, James O'Hanlon",36323,0,0.0,2011,1940,Approved,9425,7.5,"Action, Drama, War"
Thin Man Goes Home,1945,Richard Thorpe,"Robert Riskin, Dwight Taylor, Harry Kurnitz",37365,2,0.0,2016,1940,Approved,6110,7.3,"Film-Noir, Mystery"
"Bells of St Mary&#39;s, The",1945,Leo McCarey,"Dudley Nichols, Leo McCarey",37536,3,0.0,2022,1940,Unrated,8854,7.2,Drama
"Enchanted Cottage, The",1945,John Cromwell,"DeWitt Bodeen, Herman J. Mankiewicz, Arthur Wing Pinero",37671,3,0.0,2011,1940,Approved,3380,7.5,"Drama, Fantasy, Romance"
"Objective, Burma!",1945,Raoul Walsh,"Ranald MacDougall, Lester Cole, Alvah Bessie",37954,0,0.0,2012,1940,Approved,5392,7.3,"Action, Adventure, Drama"
"Three Caballeros, The",1944,"Norman Ferguson, Clyde Geronimi, Jack Kinney","Homer Brightman, Ernest Terrazas, Ted Sears",38166,0,0.0,2015,1940,Approved,15124,6.3,"Animation, Comedy, Family"
"Wicked Lady, The",1945,Leslie Arliss,"Magdalen King-Hall, Leslie Arliss, Gordon Glennon",38250,3,0.0,2020,1940,Not Rated,1590,6.8,"Adventure, Drama"
Beauty and the Beast,1946,"Jean Cocteau, René Clément","Jean Cocteau, Jeanne-Marie Leprince de Beaumont",38348,3,0.0,2010,1940,Not Rated,27518,7.9,"Drama, Fantasy, Romance"
Stairway to Heaven,1946,"Michael Powell, Emeric Pressburger","Michael Powell, Emeric Pressburger",38733,0,0.0,2010,1940,PG,23765,8.0,"Drama, Fantasy, Romance"
Calendar Girl,1947,Allan Dwan,"Mary Loos, Richard Sale, Lee Loeb",39236,2,0.0,2014,1940,Approved,272,5.8,"Musical, Romance"
Dark Passage,1947,Delmer Daves,"Delmer Daves, David Goodis",39302,2,0.0,2022,1940,Passed,21410,7.5,"Film-Noir, Thriller"
"Egg and I, The",1947,Chester Erskine,"Betty MacDonald, Chester Erskine, Fred F. Finklehoffe",39349,3,0.0,2011,1940,Approved,2994,7.0,"Comedy, Romance"
Good News,1947,Charles Walters,"Lew Brown, Laurence Schwab, Frank Mandel",39431,2,0.0,2010,1940,Approved,2768,6.8,"Comedy, Musical, Romance"
"Lady from Shanghai, The",1947,Orson Welles,"Sherwood King, Orson Welles, William Castle",40525,0,0.0,2019,1940,Not Rated,32290,7.5,"Crime, Drama, Film-Noir"
"Red Shoes, The",1948,"Michael Powell, Emeric Pressburger","Hans Christian Andersen, Emeric Pressburger, Keith Winter",40725,3,0.0,2010,1940,Not Rated,37786,8.1,"Drama, Music, Romance"
On the Town,1949,"Stanley Donen, Gene Kelly","Adolph Green, Betty Comden, Jerome Robbins",41716,3,0.0,2010,1940,Passed,18407,7.3,"Comedy, Musical, Romance"
"Set-Up, The",1949,Robert Wise,"Art Cohn, Joseph Moncure March",41859,0,0.0,2011,1940,Approved,9767,7.8,"Crime, Film-Noir, Sport"
Caged,1950,John Cromwell,"Virginia Kellogg, Bernard C. Schoenfeld",42296,3,0.0,2021,1950,Not Rated,4452,7.6,"Crime, Drama, Film-Noir"
Early Summer,1951,Yasujirô Ozu,"Kôgo Noda, Yasujirô Ozu",43313,3,0.0,2012,1950,Not Rated,9207,8.1,"Drama, Romance"
Westward the Women,1951,William A. Wellman,"Charles Schnee, Frank Capra",44205,3,0.0,2015,1950,Passed,3563,7.6,"Adventure, Drama, Western"
Clash by Night,1952,Fritz Lang,"Alfred Hayes, Clifford Odets",44502,3,0.0,2012,1950,Approved,7168,7.0,"Drama, Film-Noir, Romance"
"Story of Robin Hood and His Merrie Men, The",1952,Ken Annakin,Lawrence Edward Watkin,45197,3,0.0,2021,1950,Approved,2200,6.6,"Action, Adventure, Family"
Mesa of Lost Women,1953,"Ron Ormond, Herbert Tevos","Herbert Tevos, Orville H. Hampton",46066,1,0.0,2013,1950,Approved,1815,2.7,"Horror, Sci-Fi"
Mogambo,1953,John Ford,"John Lee Mahin, Wilson Collison",46085,2,0.0,2010,1950,Passed,8823,6.6,"Adventure, Drama, Romance"
"Caine Mutiny, The",1954,Edward Dmytryk,"Stanley Roberts, Michael Blankfort, Herman Wouk",46816,1,0.0,2021,1950,Not Rated,29128,7.7,"Drama, War"
Godzilla Raids Again,1955,"Motoyoshi Oda, Ishirô Honda","Takeo Murata, Shigeaki Hidaka, Shigeru Kayama",48127,2,0.0,2015,1950,Approved,7586,5.7,"Horror, Sci-Fi"
La banda degli onesti,1956,Camillo Mastrocinque,"Agenore Incrocci, Furio Scarpelli",48981,2,0.0,2020,1950,N/A,1539,7.5,Comedy
"Iron Petticoat, The",1956,Ralph Thomas,"Ben Hecht, Harry Saltzman",49369,1,0.0,2010,1950,Approved,1206,5.1,Comedy
"Bridge on the River Kwai, The",1957,David Lean,"Pierre Boulle, Carl Foreman, Michael Wilson",50212,1,0.0,2012,1950,PG,229325,8.1,"Adventure, Drama, War"
Desk Set,1957,Walter Lang,"Phoebe Ephron, Henry Ephron, William Marchant",50307,3,0.0,2010,1950,Approved,9253,7.2,"Comedy, Romance"
Old Yeller,1957,Robert Stevenson,"Fred Gipson, William Tunberg",50798,1,0.0,2010,1950,Approved,14616,7.2,"Adventure, Drama, Family"
Sweet Smell of Success,1957,Alexander Mackendrick,"Clifford Odets, Ernest Lehman, Alexander Mackendrick",51036,1,0.0,2011,1950,Approved,34590,8.0,"Drama, Film-Noir"
El vampiro,1957,Fernando Méndez,"Ramón Obón, Ramon Rodriguez",51151,3,0.0,2018,1950,N/A,981,7.0,"Mystery, Thriller, Horror"
"Defiant Ones, The",1958,Stanley Kramer,"Nedrick Young, Harold Jacob Smith",51525,0,0.0,2012,1950,Approved,16933,7.6,"Crime, Drama"
"Day the Sky Exploded, The",1958,"Paolo Heusch, Mario Bava","Virgilio Sabel, Marcello Coscia, Sandro Continenza",51951,1,0.0,2011,1950,Not Rated,798,4.5,Sci-Fi
Brink of Life,1958,Ingmar Bergman,"Ingmar Bergman, Ulla Isaksson",52017,3,0.0,2018,1950,Not Rated,3262,7.3,Drama
Exodus,1960,Otto Preminger,"Dalton Trumbo, Leon Uris",53804,3,0.0,2011,1960,Approved,10805,6.7,"Action, Drama, War"
El Cid,1961,Anthony Mann,"Fredric M. Frank, Philip Yordan, Ben Barzman",54847,1,0.0,2010,1960,Approved,15304,7.2,"Biography, Drama, History"
Lolita,1962,Stanley Kubrick,"Vladimir Nabokov, Stanley Kubrick, James B. Harris",56193,3,0.0,2010,1960,Not Rated,106698,7.5,"Crime, Drama, Romance"
"Music Man, The",1962,Morton DaCosta,"Meredith Willson, Franklin Lacey, Marion Hargrove",56262,3,0.0,2011,1960,G,18676,7.8,"Comedy, Family, Musical"
Love on a Pillow,1962,Roger Vadim,"Roger Vadim, Christiane Rochefort, Claude Choublier",56404,3,0.0,2022,1960,Not Rated,704,5.5,"Drama, Romance"
Lord of the Flies,1963,Peter Brook,"William Golding, Peter Brook",57261,0,0.0,2011,1960,Not Rated,20029,6.9,"Adventure, Drama, Thriller"
Goldfinger,1964,Guy Hamilton,"Richard Maibaum, Paul Dehn, Ian Fleming",58150,1,0.0,2013,1960,PG,198132,7.7,"Action, Adventure, Thriller"
A Hard Day&#39;s Night,1964,Richard Lester,Alun Owen,58182,1,0.0,2011,1960,G,47222,7.5,"Comedy, Musical"
How to Murder Your Wife,1965,Richard Quine,George Axelrod,58212,0,0.0,2018,1960,Approved,6766,6.5,Comedy
La battaglia di Algeri,1966,Gillo Pontecorvo,"Franco Solinas, Gillo Pontecorvo",58946,1,0.0,2010,1960,Not Rated,63746,8.1,"Drama, War"
Doctor Zhivago,1965,David Lean,"Boris Pasternak, Robert Bolt",59113,1,0.0,2014,1960,PG-13,80383,7.9,"Drama, Romance, War"
Old Surehand,1965,Alfred Vohrer,"Karl May, Fred Denger, Eberhard Keindorff",59538,1,0.0,2021,1960,G,1637,5.8,"Adventure, Western"
Rosemary&#39;s Baby,1968,Roman Polanski,"Ira Levin, Roman Polanski",63522,3,0.0,2010,1960,Approved,227589,8.0,"Drama, Horror"
Shalako,1968,Edward Dmytryk,"Louis L'Amour, James Griffith, Hal Hopper",63592,3,0.0,2022,1960,M/PG,3386,5.6,"Drama, Western"
"Conformist, The",1970,Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci",65571,3,0.0,2014,1970,R,32767,7.9,Drama
Les novices,1970,"Guy Casaril, Claude Chabrol","Guy Casaril, Paul Gégauff",66164,3,0.0,2012,1970,R,309,5.1,"Comedy, Drama"
Patton,1970,Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North, Ladislas Farago",66206,1,0.0,2021,1970,PG,106309,7.9,"Biography, Drama, War"
Bello onesto emigrato Australia sposerebbe compaesana illibata,1971,Luigi Zampa,"Rodolfo Sonego, Luigi Zampa",66824,2,0.0,2017,1970,N/A,1202,6.9,Comedy
Diamonds Are Forever,1971,Guy Hamilton,"Richard Maibaum, Tom Mankiewicz, Ian Fleming",66995,1,0.0,2014,1970,GP,111641,6.5,"Action, Adventure, Thriller"
Harold and Maude,1971,Hal Ashby,Colin Higgins,67185,3,0.0,2011,1970,PG,80446,7.9,"Comedy, Drama, Romance"
"Last Picture Show, The",1971,Peter Bogdanovich,"Larry McMurtry, Peter Bogdanovich",67328,2,0.0,2011,1970,R,51152,8.0,"Drama, Romance"
Vanishing Point,1971,Richard C. Sarafian,"Guillermo Cabrera Infante, Malcolm Hart, Barry Hall",67927,0,0.0,2020,1970,R,30036,7.2,"Action, Crime, Thriller"
"Baby, The",1973,Ted Post,Abe Polsky,69754,3,0.0,2016,1970,PG,4211,6.1,"Drama, Horror, Thriller"
Live and Let Die,1973,Guy Hamilton,"Tom Mankiewicz, Ian Fleming",70328,1,0.0,2014,1970,PG,113111,6.7,"Action, Adventure, Thriller"
"Sting, The",1973,George Roy Hill,David S. Ward,70735,1,0.0,2011,1970,PG,273785,8.3,"Comedy, Crime, Drama"
A Warm December,1973,Sidney Poitier,Lawrence Roman,70898,3,0.0,2022,1970,PG,769,6.1,"Drama, Romance"
"Groove Tube, The",1974,Ken Shapiro,"Ken Shapiro, Lane Sarasohn, Rich Allen",71583,1,0.0,2011,1970,X,2273,5.7,Comedy
"Maids, The",1975,Christopher Miles,"Robert Enders, Jean Genet, Christopher Miles",71798,3,0.0,2011,1970,PG,563,6.3,"Drama, Romance"
Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle",71853,2,1.0,2010,1970,PG,559341,8.2,"Adventure, Comedy, Fantasy"
Emmanuelle II,1975,Francis Giacobetti,"Bob Elia, Emmanuelle Arsan, Francis Giacobetti",72933,3,0.0,2016,1970,X,3614,4.8,"Drama, Romance"
Flatfoot in Hong Kong,1975,Steno,"Lucio De Caro, Steno, Franco Verucci",73541,1,0.0,2021,1970,N/A,3495,6.4,"Action, Comedy, Crime"
Allegro non troppo,1976,Bruno Bozzetto,"Bruno Bozzetto, Guido Manuli, Maurizio Nichetti",74121,0,1.0,2020,1970,PG,3142,7.4,"Animation, Comedy, Fantasy"
"Tenant, The",1976,Roman Polanski,"Roland Topor, Gérard Brach, Roman Polanski",74811,1,0.0,2018,1970,R,46566,7.6,"Drama, Thriller"
"Man Who Fell to Earth, The",1976,Nicolas Roeg,"Paul Mayersberg, Walter Tevis",74851,1,0.0,2010,1970,R,28124,6.6,"Drama, Sci-Fi"
Emmett Otter&#39;s Jug-Band Christmas,1977,Jim Henson,"Lillian Hoban, Russell Hoban, Jerry Juhl",75988,3,0.0,2022,1970,Not Rated,4390,8.2,"Comedy, Drama, Family"
"Brink&#39;s Job, The",1978,William Friedkin,"Walon Green, Noel Behn",77275,1,0.0,2019,1970,PG,3381,6.5,"Comedy, Crime, Drama"
Damien: Omen II,1978,"Don Taylor, Mike Hodges","Harvey Bernhard, David Seltzer, Stanley Mann",77394,2,0.0,2010,1970,R,34368,6.2,Horror
Meatballs,1979,Ivan Reitman,"Len Blum, Daniel Goldberg, Janis Allen",79540,3,0.0,2014,1970,PG,23322,6.2,Comedy
Osenniy marafon,1979,Georgiy Daneliya,"Aleksandr Volodin, Georgiy Daneliya",79679,1,0.0,2020,1970,N/A,3536,7.8,"Comedy, Drama, Romance"
Phantasm,1979,Don Coscarelli,Don Coscarelli,79714,1,0.0,2016,1970,R,39931,6.6,"Horror, Sci-Fi"
Nightmare City,1980,Umberto Lenzi,"Antonio Cesare Corti, Luis María Delgado, Piero Regnoli",80931,3,0.0,2017,1980,R,6586,5.6,"Horror, Sci-Fi, Thriller"
Superman II,1980,"Richard Lester, Richard Donner","Jerry Siegel, Joe Shuster, Mario Puzo",81573,3,1.0,2013,1980,PG,112531,6.8,"Action, Adventure, Sci-Fi"
La fuga de Segovia,1981,Imanol Uribe,"Ángel Amigo, Imanol Uribe, Anjel Lertxundi",82424,0,0.0,2017,1980,N/A,186,6.5,"Crime, Drama"
"Great Muppet Caper, The",1981,Jim Henson,"Tom Patchett, Jay Tarses, Jerry Juhl",82474,3,0.0,2011,1980,G,16334,7.1,"Adventure, Comedy, Crime"
Il marchese del Grillo,1981,Mario Monicelli,"Bernardino Zapponi, Leonardo Benvenuti, Piero De Bernardi",82714,3,0.0,2015,1980,N/A,3737,7.7,"Comedy, History"
"Marva Collins Story, The",1981,Peter Levin,Clifford Campion,82719,1,0.0,2015,1980,Not Rated,294,7.7,"Biography, Drama"
Mommy Dearest,1981,Frank Perry,"Christina Crawford, Frank Yablans, Frank Perry",82766,3,0.0,2012,1980,R,17708,6.6,"Biography, Drama"
Victory,1981,John Huston,"Yabo Yablonsky, Djordje Milicevic, Jeff Maguire",83284,0,0.0,2021,1980,PG,32599,6.6,"Drama, Sport, War"
"Dark Crystal, The",1982,"Jim Henson, Frank Oz","David Odell, Jim Henson",83791,1,0.0,2010,1980,PG,70075,7.1,"Adventure, Family, Fantasy"
Frances,1982,Graeme Clifford,"Eric Bergren, Christopher De Vore, Nicholas Kazan",83967,3,1.0,2013,1980,R,8396,7.2,"Biography, Drama, Romance"
TRON,1982,Steven Lisberger,"Steven Lisberger, Bonnie MacBird, Charles S. Haas",84827,0,0.0,2010,1980,PG,126776,6.7,"Action, Adventure, Sci-Fi"
Go for It,1983,Enzo Barboni,Marco Barboni,85601,0,0.0,2013,1980,TV-PG,10647,7.1,"Action, Adventure, Comedy"
"King of Comedy, The",1982,Martin Scorsese,Paul D. Zimmerman,85794,1,0.0,2011,1980,PG,113944,7.8,"Comedy, Crime, Drama"
"Meaning of Life , The",1983,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam",85959,1,0.0,2015,1980,R,123680,7.5,"Comedy, Musical"
Scarface,1983,Brian De Palma,"Oliver Stone, Howard Hawks, Ben Hecht",86250,1,0.0,2014,1980,18+,886023,8.3,"Crime, Drama"
Videodrome,1983,David Cronenberg,David Cronenberg,86541,2,1.0,2013,1980,R,99262,7.2,"Horror, Sci-Fi, Thriller"
"Bostonians, The",1984,James Ivory,"Henry James, Ruth Prawer Jhabvala",86992,3,0.0,2009,1980,Not Rated,2319,6.2,"Drama, Romance"
C.H.U.D.,1984,Douglas Cheek,"Parnell Hall, Shepard Abbott, Christopher Curry",87015,2,0.0,2020,1980,R,13609,5.6,"Horror, Sci-Fi"
Johnny Dangerously,1984,Amy Heckerling,"Norman Steinberg, Bernie Kukoff, Harry Colomby",87507,3,0.0,2015,1980,PG-13,16047,6.5,"Comedy, Crime"
"Karate Kid, The",1984,John G. Avildsen,Robert Mark Kamen,87538,3,0.0,2010,1980,PG,237895,7.3,"Action, Drama, Family"
Repo Man,1984,Alex Cox,Alex Cox,87995,2,0.0,2013,1980,R,39781,6.9,"Action, Comedy, Crime"
Zwei Nasen tanken Super,1984,Dieter Pröttel,"Thomas Gottschalk, Mike Krüger",88459,1,0.0,2021,1980,N/A,1040,4.4,Comedy
"Color Purple, The",1985,Steven Spielberg,"Menno Meyjes, Alice Walker",88939,3,0.0,2010,1980,PG-13,92433,7.7,Drama
"Goonies, The",1985,Richard Donner,"Chris Columbus, Steven Spielberg",89218,3,0.0,2012,1980,PG,291011,7.7,"Adventure, Comedy, Family"
Howling II: ... Your Sister Is a Werewolf,1985,Philippe Mora,"Gary Brandner, Robert Sarno",89308,2,0.0,2018,1980,R,7883,3.7,"Horror, Thriller"
An American Tail,1986,Don Bluth,"David Kirschner, Judy Freudberg, Tony Geiss",90633,3,1.0,2011,1980,G,56811,6.9,"Animation, Adventure, Comedy"
Chopping Mall,1986,Jim Wynorski,"Jim Wynorski, Steve Mitchell",90837,3,0.0,2018,1980,R,16467,5.6,"Horror, Sci-Fi"
"Fly, The",1986,David Cronenberg,"George Langelaan, Charles Edward Pogue, David Cronenberg",91064,2,0.0,2012,1980,R,195488,7.6,"Drama, Horror, Sci-Fi"
Come and See,1985,Elem Klimov,"Ales Adamovich, Elem Klimov",91251,0,0.0,2015,1980,Not Rated,90326,8.4,"Drama, Thriller, War"
"Karate Kid, Part II, The",1986,John G. Avildsen,Robert Mark Kamen,91326,1,0.0,2016,1980,PG,96294,6.1,"Action, Family, Sport"
Radio Days,1987,Woody Allen,Woody Allen,93818,1,0.0,2011,1980,PG,35332,7.4,Comedy
Bull Durham,1988,Ron Shelton,Ron Shelton,94812,2,1.0,2020,1980,R,57869,7.1,"Comedy, Romance, Sport"
Celia,1989,Ann Turner,Ann Turner,94849,3,0.0,2018,1980,Not Rated,1401,6.8,"Drama, Fantasy, Horror"
Critters 2,1988,Mick Garris,"David Twohy, Mick Garris",94919,3,0.0,2018,1980,PG-13,16450,5.5,"Comedy, Horror, Sci-Fi"
Midnight Run,1988,Martin Brest,George Gallo,95631,2,0.0,2011,1980,R,91635,7.5,"Action, Comedy, Crime"
Bill &amp; Ted&#39;s Excellent Adventure,1989,Stephen Herek,"Chris Matheson, Ed Solomon",96928,2,0.0,2011,1980,PG,138737,6.9,"Adventure, Comedy, Music"
Kickboxer,1989,"Mark DiSalle, David Worth","Mark DiSalle, Jean-Claude Van Damme, Glenn A. Bruce",97659,0,0.0,2021,1980,R,59227,6.4,"Action, Sport, Thriller"
Oranges Are Not The Only Fruit,1989,N/A,N/A,98032,3,0.0,2013,1980,N/A,1079,7.7,Drama
Red Scorpion,1988,Joseph Zito,"Robert Abramoff, Jack Abramoff, Arne Olsen",98180,0,0.0,2021,1980,R,9531,5.1,"Action, Adventure"
Dick Tracy,1991,Warren Beatty,"Chester Gould, Jim Cash, Jack Epps Jr.",99422,1,0.0,2014,1990,PG,64579,6.2,"Action, Comedy, Crime"
Metropolitan,1990,Whit Stillman,Whit Stillman,100142,3,0.0,2018,1990,PG-13,12019,7.3,"Comedy, Drama, Romance"
Presumed Innocent,1990,Alan J. Pakula,"Scott Turow, Frank Pierson, Alan J. Pakula",100404,1,0.0,2014,1990,R,44778,6.9,"Mystery, Thriller"
Wild at Heart,1990,David Lynch,"Barry Gifford, David Lynch",100935,2,0.0,2011,1990,R,98496,7.2,"Crime, Drama, Thriller"
Delta Force 3: The Killing Game,1991,Sam Firstenberg,"Andrew Deutsch, Greg Latter, Boaz Davidson",101702,0,0.0,2021,1990,R,1060,3.4,"Action, Adventure, Crime"
Hellraiser III: Hell on Earth,1992,Anthony Hickox,"Peter Atkins, Tony Randel, Clive Barker",104409,3,0.0,2015,1990,R,34068,5.5,Horror
Husbands and Wives,1992,Woody Allen,Woody Allen,104466,3,0.0,2013,1990,R,30586,7.5,"Comedy, Drama, Romance"
"Beverly Hillbillies, The",1993,Penelope Spheeris,"Paul Henning, Lawrence Konner, Mark Rosenthal",106400,3,0.0,2012,1990,PG,19493,5.0,"Comedy, Family"
Dave,1993,Ivan Reitman,Gary Ross,106673,3,0.0,2010,1990,PG-13,56041,6.9,"Comedy, Romance"
Gettysburg,1993,Ron Maxwell,"Michael Shaara, Ron Maxwell",107007,0,0.0,2013,1990,PG,30700,7.6,"Drama, History, War"
Gypsy,1993,Emile Ardolino,"Arthur Laurents, Gypsy Rose Lee",107065,3,0.0,2012,1990,Not Rated,2050,7.2,"Biography, Comedy, Drama"
"Nightmare Before Christmas, The",1993,Henry Selick,"Tim Burton, Michael McDowell, Caroline Thompson",107688,1,0.0,2011,1990,PG,358481,7.9,"Animation, Family, Fantasy"
Poetic Justice,1993,John Singleton,John Singleton,107840,3,0.0,2018,1990,R,16082,6.1,"Drama, Romance"
Three Colors: Blue,1993,Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",108394,3,0.0,2010,1990,R,107888,7.9,"Drama, Music, Mystery"
Undercover Blues,1993,Herbert Ross,Ian Abrams,108442,1,0.0,2010,1990,PG-13,9787,6.0,"Comedy, Crime"
Legend of the Red Dragon / Hong Xi Guan: Zhi Shao Lin wu zu,1994,Jing Wong,Jing Wong,110054,3,1.0,2013,1990,R,5979,6.3,"Action, Adventure, Comedy"
Little Women,1994,Gillian Armstrong,"Louisa May Alcott, Robin Swicord",110367,3,0.0,2010,1990,PG,61977,7.3,"Drama, Family, Romance"
Quiz Show,1994,Robert Redford,"Paul Attanasio, Richard N. Goodwin",110932,2,0.0,2013,1990,PG-13,72235,7.5,"Biography, Drama, History"
Reality Bites,1994,Ben Stiller,Helen Childress,110950,3,0.0,2010,1990,PG-13,52641,6.6,"Comedy, Drama, Romance"
See How They Fall,1994,Jacques Audiard,"Jacques Audiard, Alain Le Henry, Teri White",110958,1,0.0,2015,1990,N/A,1289,6.6,"Crime, Drama"
Speed,1994,Jan de Bont,Graham Yost,111257,3,0.0,2009,1990,R,382516,7.3,"Action, Adventure, Thriller"
Wrony,1994,Dorota Kedzierzawska,Dorota Kedzierzawska,111751,3,0.0,2014,1990,N/A,688,7.2,Drama
Babe,1995,Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan",112431,3,0.0,2016,1990,G,131237,6.9,"Comedy, Drama, Family"
Balto,1995,Simon Wells,"Cliff Ruby, Elana Lesser, David Steven Cohen",112453,2,0.0,2010,1990,G,46753,7.1,"Animation, Adventure, Drama"
Casino,1995,Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",112641,2,1.0,2011,1990,R,546584,8.2,"Crime, Drama"
Dead Man Walking,1995,Tim Robbins,"Helen Prejean, Tim Robbins",112818,3,0.0,2018,1990,R,99781,7.5,"Crime, Drama"
Devil in a Blue Dress,1995,Carl Franklin,"Walter Mosley, Carl Franklin",112857,1,0.0,2014,1990,R,22731,6.8,"Crime, Drama, Mystery"
"Incredibly True Adventures of Two Girls in Love, The",1995,Maria Maggenti,Maria Maggenti,113416,3,0.0,2011,1990,R,4992,6.6,"Comedy, Drama, Romance"
Leaving Las Vegas,1995,Mike Figgis,"John O'Brien, Mike Figgis",113627,2,0.0,2019,1990,R,131174,7.5,"Drama, Romance"
Mallrats,1995,Kevin Smith,Kevin Smith,113749,2,0.0,2009,1990,R,127064,7.0,"Comedy, Romance"
Nick of Time,1995,John Badham,Patrick Sheane Duncan,113972,3,0.0,2017,1990,R,44468,6.3,"Action, Crime, Drama"
Persuasion,1995,Roger Michell,"Jane Austen (novel), Nick Dear (screenplay)",114117,3,0.0,2012,1990,PG,8758,7.7,"Drama, Romance"
"Quick and the Dead, The",1995,Sam Raimi,Simon Moore,114214,3,0.0,2013,1990,R,100027,6.5,"Action, Drama, Romance"
La belle verte,1996,Coline Serreau,Coline Serreau,115650,3,0.0,2016,1990,N/A,5404,7.2,"Comedy, Sci-Fi"
Big Night,1996,"Campbell Scott, Stanley Tucci","Stanley Tucci, Joseph Tropiano",115678,3,0.0,2013,1990,R,22204,7.3,"Drama, Romance"
Entertaining Angels: The Dorothy Day Story,1996,Michael Ray Rhodes,John Wells,116212,3,0.0,2015,1990,PG-13,518,6.2,"Biography, Drama, Romance"
Freeway,1996,Matthew Bright,Matthew Bright,116361,3,0.0,2010,1990,R,30516,6.8,"Crime, Drama, Thriller"
"Frighteners, The",1996,Peter Jackson,"Fran Walsh, Peter Jackson",116365,3,0.0,2012,1990,R,93257,7.1,"Comedy, Fantasy, Horror"
"Glimmer Man, The",1996,John Gray,Kevin Brodbin,116421,1,0.0,2012,1990,R,20915,5.4,"Action, Comedy, Crime"
